method,mean_pnl,std_pnl,cvar_5,sharpe,max_dd,turnover,inference_ms
A-BSMΔ-daily,-0.742298346639684,0.4391095525076577,1.831874939215706,-1.690462761287205,-370.86911678353226,0.4391095525076577,4.829144399991492
A-BSMΔ-weekly,-0.4885132524275692,0.9083625308598827,2.850788011679361,-0.5377954680331521,-245.38139916853837,0.9083625308598827,1.1401371999818366
B4-DeepHedging-PPO,-1.376100223738498,6.112302222291315,22.506554552818855,-0.22513615552580452,-705.1714132619215,0.0,9.89918320000288
B4-DeepHedging-Buehler-v2,-0.5730,0.5577,1.4109,-1.0274,,,
