method,mean_err,max_err,mean_rel_err,p95_rel_err,inference_ms
A-BSM,0.0,0.0,0.0,0.0,0.060918600000150036
B1-NN,0.13422746659219917,1.0237475769297006,404.04400699045834,0.3534377049029287,0.0045622999969054945
